               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.023825,           0.0092161,                   0,                   1,             0.99688,               0.995,             0.71395,             0.02147,           0.0043043,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.027179,            0.009485,                   0,             0.98829,                   1,              0.9949,             0.80938,            0.017543,           0.0041653,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.025889,           0.0082015,                   0,             0.98843,                   1,              0.9949,             0.75975,            0.020486,           0.0041948,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024374,           0.0086538,                   0,                0.99,             0.99985,              0.9949,             0.76032,            0.020194,           0.0042153,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024646,           0.0087543,                   0,                0.99,             0.99972,              0.9949,             0.72487,            0.023387,           0.0042028,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.025724,           0.0085379,                   0,             0.99473,              0.9899,              0.9948,             0.82111,             0.01754,           0.0040319,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.022577,            0.010191,                   0,             0.99342,              0.9899,              0.9948,             0.83619,            0.017722,           0.0039257,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024384,           0.0089265,                   0,                   1,             0.98933,              0.9948,             0.76094,            0.021305,           0.0040611,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.021428,           0.0081633,                   0,              0.9981,                   1,               0.995,             0.82353,            0.017269,            0.003781,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.021148,           0.0098219,                   0,             0.99704,                   1,               0.995,             0.83022,            0.017217,           0.0037881,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.021346,            0.008489,                   0,                   1,             0.99646,               0.995,             0.78718,            0.019623,           0.0039807,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.024666,           0.0080249,                   0,             0.98711,                   1,              0.9949,             0.77692,            0.018863,            0.004068,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.024932,           0.0084974,                   0,                   1,             0.99666,               0.995,             0.75041,            0.020712,           0.0040996,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.022362,           0.0080998,                   0,                   1,             0.99764,               0.995,             0.79285,            0.016806,           0.0040028,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.024065,           0.0084117,                   0,                   1,             0.99999,               0.995,             0.75631,            0.019724,           0.0041579,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.025265,           0.0085448,                   0,             0.99689,                   1,               0.995,             0.71304,            0.018469,           0.0041441,                   0,            0.006832,            0.006832,            0.006832
                 162,              0.0232,           0.0097133,                   0,             0.99622,                   1,               0.995,             0.80927,            0.017985,           0.0040008,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.022702,           0.0086147,                   0,             0.99648,                   1,               0.995,              0.7982,             0.02039,           0.0040828,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.024376,           0.0084334,                   0,                   1,             0.99996,               0.995,             0.80225,            0.016779,           0.0041221,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.022531,           0.0075896,                   0,             0.99432,              0.9899,              0.9949,             0.71545,            0.024349,           0.0043683,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,             0.02194,              0.0092,                   0,             0.99459,              0.9798,             0.99451,             0.77203,            0.017813,           0.0042832,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.023617,           0.0087651,                   0,             0.99478,              0.9798,             0.99441,             0.77665,            0.017847,           0.0043215,                   0,           0.0067132,           0.0067132,           0.0067132
